黑泽明
序号	评分	电影名	电影信息
0	8.7	梦夢	[(0, '主演是寺尾聪,倍赏美津子,根岸季衣,原田美枝子,伊崎充则。编剧是黑泽明。类型是剧情、奇幻。制片国家/地区是日本、美国。语言是日语、法语、英语。上映时间是1990-05-10(戛纳电影节)。时长是121分钟。'), (1, '剧情简介是本片是日本电影天皇黑泽明对梦的勾画，全片共有八个梦境，分别是：太阳雨、桃园、风雪、隧道、乌鸦、红色富士山、垂泪的魔鬼和水车之村。这八个梦几乎贯穿了人类生活的所有主题，战争与和平、社会与人生。在不同的梦境里有着不同的场景，配合不同的色彩，把人类所面对的所有主题一一呈现。'), (2, 'None'), (3, '好于95%奇幻片,好于94%剧情片。最佳影片(提名)。最佳导演(提名)。最佳摄影(提名)。'), (4, "['./data3/post_video/黑泽明/梦 夢/image/剧照1.jpg', './data3/post_video/黑泽明/梦 夢/image/剧照2.jpg', './data3/post_video/黑泽明/梦 夢/image/剧照3.jpg', './data3/post_video/黑泽明/梦 夢/image/剧照4.jpg', './data3/post_video/黑泽明/梦 夢/image/剧照5.jpg', './data3/post_video/黑泽明/梦 夢/image/海报1.jpg', './data3/post_video/黑泽明/梦 夢/image/海报2.jpg', './data3/post_video/黑泽明/梦 夢/image/海报3.jpg', './data3/post_video/黑泽明/梦 夢/image/海报4.jpg', './data3/post_video/黑泽明/梦 夢/image/海报5.jpg']"), (5, 'None')]
1	9.3	七武士七人の侍	[(0, '主演是三船敏郎,志村乔,津岛惠子,岛崎雪子,藤原釜足。编剧是黑泽明、桥本忍、小国英雄。类型是剧情、动作、冒险。制片国家/地区是日本。语言是日语。上映时间是1954-04-26(日本)。时长是207分钟。'), (1, '剧情简介是日本战国时代，一小山村面临着山贼的威胁，为了保护秋天的收成，村中长老决定让去请武士来保护村子安全，但只能拿出的报酬是一天三顿的白米饭。在城里，他们遭到了武士白眼甚至被打。直到勘兵卫（志村乔饰）的出现，他现今已沦为浪人，几经考虑最后答应了。他对农民说至少需要七名武士，于是久藏（宫口精二饰）、胜四郎（木村功饰）、五郎（稻叶义男饰）、七郎（加东大介饰）、平八（千秋实饰）和菊千代（三船敏郎饰）等六人也加入了队伍，七个人肩负保卫村子的任务。整个防御准备的过程中，武士与农民间发生许多摩擦也闹出不少笑话。而在一次偷袭行动中，有武士为救农民被火枪打死，很快山贼的反扑随之而来，一场恶战即将开始。'), (2, 'None'), (3, '好于98%剧情片,好于99%动作片。黑白片最佳艺术指导和布景(提名)。黑白片最佳服装设计(提名)。主竞赛单元金狮奖(提名)。'), (4, "['./data3/post_video/黑泽明/七武士 七人の侍/image/剧照1.jpg', './data3/post_video/黑泽明/七武士 七人の侍/image/剧照2.jpg', './data3/post_video/黑泽明/七武士 七人の侍/image/剧照3.jpg', './data3/post_video/黑泽明/七武士 七人の侍/image/剧照4.jpg', './data3/post_video/黑泽明/七武士 七人の侍/image/剧照5.jpg', './data3/post_video/黑泽明/七武士 七人の侍/image/海报1.jpg', './data3/post_video/黑泽明/七武士 七人の侍/image/海报2.jpg', './data3/post_video/黑泽明/七武士 七人の侍/image/海报3.jpg', './data3/post_video/黑泽明/七武士 七人の侍/image/海报4.jpg', './data3/post_video/黑泽明/七武士 七人の侍/image/海报5.jpg']"), (5, "['./data3/post_video/黑泽明/七武士 七人の侍/video/视频1.mp4', './data3/post_video/黑泽明/七武士 七人の侍/video/视频2.mp4']")]
2	8.9	乱	[(0, '主演是仲代达矢,寺尾聪,根津甚八,隆大介,原田美枝子。编剧是黑泽明、小国英雄、井手雅人、威廉·莎士比亚。类型是剧情、动作。制片国家/地区是日本、法国。语言是日语。上映时间是1985-06-01(日本)。时长是162分钟。'), (1, '剧情简介是一文字秀虎（仲代达矢饰）征战多年，手段残忍。在七十岁时，秀虎准备将家业一分为三，由三个儿子分掌大权。他把太郎孝虎（寺尾聪饰）、次郎正虎（根津甚八饰）、三郎直虎（隆大介饰）叫到跟前，以“支箭会断，砚支箭折不断”喻语告诫三兄弟，嘱咐他们要休戚与共。三郎当场把三支箭横在膝上折断，以抗议父亲枉经乱世，而不知人情。秀虎大怒，将三郎驱逐出境。三郎遂到邻国入赘为婿。而之后一文字家果然被三郎言中，背信弃义的告诫果然成真，父子及兄弟间的纷乱开始，迎接他们的将是什么命运？'), (2, 'None'), (3, '好于96%剧情片,好于98%动作片。最佳导演(提名)。最佳摄影(提名)。最佳艺术指导(提名)。'), (4, "['./data3/post_video/黑泽明/乱/image/剧照1.jpg', './data3/post_video/黑泽明/乱/image/剧照2.jpg', './data3/post_video/黑泽明/乱/image/剧照3.jpg', './data3/post_video/黑泽明/乱/image/剧照4.jpg', './data3/post_video/黑泽明/乱/image/剧照5.jpg', './data3/post_video/黑泽明/乱/image/海报1.jpg', './data3/post_video/黑泽明/乱/image/海报2.jpg', './data3/post_video/黑泽明/乱/image/海报3.jpg', './data3/post_video/黑泽明/乱/image/海报4.jpg', './data3/post_video/黑泽明/乱/image/海报5.jpg']"), (5, "['./data3/post_video/黑泽明/乱/video/视频1.mp4']")]
3	8.8	罗生门羅生門	[(0, '主演是三船敏郎,京町子,森雅之,志村乔,千秋实。编剧是黑泽明、桥本忍、芥川龙之介。类型是剧情、悬疑、犯罪。制片国家/地区是日本。语言是日语。上映时间是1950-08-26(日本)。时长是88分钟。'), (1, '剧情简介是罗生门，日本京都的正南门。云游和尚、砍柴人和乞丐在城门底下避雨，三人闲聊，话题开始，故事的序幕拉开：一个武士和他妻子路过荒山，遭遇了不测。妻子被侮辱，而武士惨遭杀害。惨案如何酿成？凶手、妻子、借武士亡魂来做证的女巫，都各有说法。真相只得一个，但是各人提供证词的目的却各有不同。为了美化自己的道德，减轻自己的罪恶，掩饰自己的过失，人人都开始叙述一个美化自己的故事版本。荒山上的惨案，成了一团拨不开看不清的迷雾。谈论完毕，雨过天晴。砍柴人在罗生门旁发现一个哭泣的弃婴。他决定收养下来，抱着婴孩往夕阳深处走去。'), (2, 'None'), (3, '好于96%剧情片,好于98%悬疑片。黑白片最佳艺术指导和布景(提名)。主竞赛单元金狮奖。'), (4, "['./data3/post_video/黑泽明/罗生门 羅生門/image/剧照1.jpg', './data3/post_video/黑泽明/罗生门 羅生門/image/剧照2.jpg', './data3/post_video/黑泽明/罗生门 羅生門/image/剧照3.jpg', './data3/post_video/黑泽明/罗生门 羅生門/image/剧照4.jpg', './data3/post_video/黑泽明/罗生门 羅生門/image/剧照5.jpg', './data3/post_video/黑泽明/罗生门 羅生門/image/海报1.jpg', './data3/post_video/黑泽明/罗生门 羅生門/image/海报2.jpg', './data3/post_video/黑泽明/罗生门 羅生門/image/海报3.jpg', './data3/post_video/黑泽明/罗生门 羅生門/image/海报4.jpg', './data3/post_video/黑泽明/罗生门 羅生門/image/海报5.jpg']"), (5, "['./data3/post_video/黑泽明/罗生门 羅生門/video/视频1.mp4']")]
4	9.0	影武者	[(0, '主演是仲代达矢,山崎努,萩原健一,根津甚八,大泷秀治。编剧是黑泽明、井手雅人。类型是剧情、历史、战争。制片国家/地区是日本、美国。语言是日语。上映时间是1980-04-26(日本)。时长是179分钟。'), (1, '剧情简介是日本战国时代三雄之首的武田信玄（仲代达矢饰），号称“甲斐之虎”。他的信条是“疾如风，徐如林，侵略如火，不动如山”。当武田信玄包围德川军的野田城，即将直取京都完成霸业时，他被敌人的狙击冷枪打中，重伤濒死。临死前，他留下遗言要部下隐瞒自己死讯三年。先前弟弟武田信廉（山崎努饰）找到的替身（仲代达矢饰），原为窃贼的他面貌和信玄酷似，即日本人所说的“影子武士”，担当起了重任。就这样，在武田信廉一旁的支持辅助下，影子武士从贼性未改到被武田家的大义之举所感动，尽心尽力履行职责，他令武田家人及敌人坚信他就是信玄本人。然而，三年将至，意外之事发生，影子武士被揭露，他被赶走，而武田家的气数也将尽……'), (2, 'None'), (3, '好于96%战争片,好于97%历史片。最佳外语片(提名)。主竞赛单元金棕榈奖。最佳影片。'), (4, "['./data3/post_video/黑泽明/影武者/image/剧照1.jpg', './data3/post_video/黑泽明/影武者/image/剧照2.jpg', './data3/post_video/黑泽明/影武者/image/剧照3.jpg', './data3/post_video/黑泽明/影武者/image/剧照4.jpg', './data3/post_video/黑泽明/影武者/image/剧照5.jpg', './data3/post_video/黑泽明/影武者/image/海报1.jpg', './data3/post_video/黑泽明/影武者/image/海报2.jpg', './data3/post_video/黑泽明/影武者/image/海报3.jpg', './data3/post_video/黑泽明/影武者/image/海报4.jpg', './data3/post_video/黑泽明/影武者/image/海报5.jpg']"), (5, 'None')]
5	9.2	生之欲生きる	[(0, '主演是志村乔,日守新一,田中春男,千秋实,小田切美喜。编剧是黑泽明、桥本忍、小国英雄。类型是剧情。制片国家/地区是日本。语言是日语。上映时间是1952-10-09(日本)。时长是143分钟。'), (1, '剧情简介是市政府市民科科长渡边勘治（志村乔饰）是名近三十年全勤的模范公务员，然而他和同事们每天忙碌却人浮于事，不知道自己在忙些什么。一帮妇女联合到市政府申请填平社区附近的臭水池，在上面建造个小公园。市民科的接待人员告诉她们要把问题反映到土木课，公园课把她们推到建设科……，申请书转了一圈后，又被踢回市民科。一个月后，渡边因身体不适，去医院被查出胃癌，时日无多。渡边回到家，感到孤独无助，儿子（金子信雄饰）只想着用老人的退休金及储蓄，到外面另辟小家庭。绝望中的渡边没有去上班，借酒浇愁。之后，请辞的女科员小田（小田切美善饰）给了渡边以启示。他打起精神，亲自督促建设社区公园。几个月后……'), (2, 'None'), (3, '好于98%剧情片。'), (4, "['./data3/post_video/黑泽明/生之欲 生きる/image/剧照1.jpg', './data3/post_video/黑泽明/生之欲 生きる/image/剧照2.jpg', './data3/post_video/黑泽明/生之欲 生きる/image/剧照3.jpg', './data3/post_video/黑泽明/生之欲 生きる/image/剧照4.jpg', './data3/post_video/黑泽明/生之欲 生きる/image/剧照5.jpg', './data3/post_video/黑泽明/生之欲 生きる/image/海报1.jpg', './data3/post_video/黑泽明/生之欲 生きる/image/海报2.jpg', './data3/post_video/黑泽明/生之欲 生きる/image/海报3.jpg', './data3/post_video/黑泽明/生之欲 生きる/image/海报4.jpg', './data3/post_video/黑泽明/生之欲 生きる/image/海报5.jpg']"), (5, 'None')]
6	9.0	用心棒	[(0, '主演是三船敏郎,仲代达矢,司叶子,山田五十铃,加东大介。编剧是黑泽明、菊岛隆三。类型是剧情、动作、惊悚。制片国家/地区是日本。语言是日语。上映时间是1961-04-25(日本)。时长是110分钟。'), (1, '剧情简介是外表落魄邋遢的浪人武士三十郎（三船敏郎饰）来到一个小镇，清兵卫（河津清三郎饰）和新田丑寅（山茶花究饰）两家恶霸在那里为争夺地盘，招兵买马经常争斗，弄得民不聊生。三十郎决定从中设计，引诱双方雇佣自己，再加入不同方造成两边拼斗，由此坐收渔利，消灭对方。但随着丑寅弟弟卯之助（仲代达矢饰）的加入，情况又发生了不同，他手里握有短枪，占得优势，清兵卫的势力被打败，三十郎甚至也受伤不轻。但是决战在所难免，椿三十郎独对丑寅、亥之吉等众人，身处劣势的他如何能剿灭对方呢？'), (2, 'None'), (3, '好于98%动作片,好于97%剧情片。黑白片最佳服装设计(提名)。主竞赛单元金狮奖(提名)。沃尔皮杯最佳男演员。'), (4, "['./data3/post_video/黑泽明/用心棒/image/剧照1.jpg', './data3/post_video/黑泽明/用心棒/image/剧照2.jpg', './data3/post_video/黑泽明/用心棒/image/剧照3.jpg', './data3/post_video/黑泽明/用心棒/image/剧照4.jpg', './data3/post_video/黑泽明/用心棒/image/剧照5.jpg', './data3/post_video/黑泽明/用心棒/image/海报1.jpg', './data3/post_video/黑泽明/用心棒/image/海报2.jpg', './data3/post_video/黑泽明/用心棒/image/海报3.jpg', './data3/post_video/黑泽明/用心棒/image/海报4.jpg', './data3/post_video/黑泽明/用心棒/image/海报5.jpg']"), (5, "['./data3/post_video/黑泽明/用心棒/video/视频1.mp4']")]
7	8.8	椿三十郎	[(0, '主演是三船敏郎,仲代达矢,小林桂树,加山雄三,团令子。编剧是菊岛隆三、小国英雄、黑泽明、山本周五郎。类型是剧情、喜剧、动作、惊悚、犯罪。制片国家/地区是日本。语言是日语。上映时间是1962-01-01(日本)。时长是96分钟。'), (1, '剧情简介是郊外神社的神殿里，九位年轻武士在秘密开会，城代家老的外甥井坂（加山雄三饰）准备向大目付菊井求助整治内部问题。但外貌邋遢的武士椿三十郎（三船敏郎饰）出现，告诉他们菊井才是背后的黑手。果然，神殿很快被大目付手下团团围住，三十郎出手替年轻人解危，而室户半兵卫（仲代达矢饰）却欣赏三十郎的身手，欢迎他加入。之后，三十郎与九人组去找城代家老，却发现晚了一步已被绑架。他们到了武士寺田家中再谋营救，隔壁就是敌人所在的黑藤府。菊井一边监禁了城代家老，另一边又想着引出年轻武士们出洞，幸得三十郎所救。在精妙计谋下，解救成功。但室户半兵卫却不放过三十郎，较量的胜负就在一瞬间。'), (2, 'None'), (3, '好于98%动作片,好于95%剧情片。'), (4, "['./data3/post_video/黑泽明/椿三十郎/image/剧照1.jpg', './data3/post_video/黑泽明/椿三十郎/image/剧照2.jpg', './data3/post_video/黑泽明/椿三十郎/image/剧照3.jpg', './data3/post_video/黑泽明/椿三十郎/image/剧照4.jpg', './data3/post_video/黑泽明/椿三十郎/image/剧照5.jpg', './data3/post_video/黑泽明/椿三十郎/image/海报1.jpg', './data3/post_video/黑泽明/椿三十郎/image/海报2.jpg', './data3/post_video/黑泽明/椿三十郎/image/海报3.jpg', './data3/post_video/黑泽明/椿三十郎/image/海报4.jpg', './data3/post_video/黑泽明/椿三十郎/image/海报5.jpg']"), (5, 'None')]
8	8.5	蜘蛛巢城蜘蛛巣城	[(0, '主演是三船敏郎,山田五十铃,志村乔,久保明,太刀川宽。编剧是小国英雄、桥本忍、菊岛隆三、黑泽明。类型是剧情、历史。制片国家/地区是日本。语言是日语。上映时间是1957-01-15(日本)。时长是110分钟。'), (1, '剧情简介是一串悲凉的歌声诉说着蜘蛛城的历史预言。战国时期，处于密林围抱的蜘蛛城，地形复杂，敌军攻来此地，必然迷路，因此城主稳坐城楼，指挥若定，四面排出大将御敌，可保此城固若金汤。大将鹫津武时（三船敏郎ToshiroMifune饰）和副将三木因为平叛得力，准备回城领赏。途中，二人阴错阳差走入了密林深处，偶遇一白发老妪弹琴吟唱。他们觉得此事蹊跷，怀疑是敌方故布疑阵，因此上前以武力逼其就范。但此人却预言鹫津将夺城主之位，三木之子也将继承大统，正当两人将信将疑之时，此人化作一道白光销声匿迹。此后，回到城中，鹫津做了北城城主，但念及预言，心有不甘，于是在妻子浅茅的怂恿下，弑君，自立为蜘蛛巢城城主，然而这才只是预言的开始……'), (2, 'None'), (3, '好于89%剧情片,好于90%历史片。主竞赛单元金狮奖(提名)。'), (4, "['./data3/post_video/黑泽明/蜘蛛巢城 蜘蛛巣城/image/剧照1.jpg', './data3/post_video/黑泽明/蜘蛛巢城 蜘蛛巣城/image/剧照2.jpg', './data3/post_video/黑泽明/蜘蛛巢城 蜘蛛巣城/image/剧照3.jpg', './data3/post_video/黑泽明/蜘蛛巢城 蜘蛛巣城/image/剧照4.jpg', './data3/post_video/黑泽明/蜘蛛巢城 蜘蛛巣城/image/剧照5.jpg', './data3/post_video/黑泽明/蜘蛛巢城 蜘蛛巣城/image/海报1.jpg', './data3/post_video/黑泽明/蜘蛛巢城 蜘蛛巣城/image/海报2.jpg', './data3/post_video/黑泽明/蜘蛛巢城 蜘蛛巣城/image/海报3.jpg', './data3/post_video/黑泽明/蜘蛛巢城 蜘蛛巣城/image/海报4.jpg', './data3/post_video/黑泽明/蜘蛛巢城 蜘蛛巣城/image/海报5.jpg']"), (5, 'None')]
9	8.4	野良犬	[(0, '主演是三船敏郎,志村乔,淡路惠子,三好荣子,千石规子。编剧是菊岛隆三、黑泽明。类型是剧情、犯罪。制片国家/地区是日本。语言是日语。上映时间是1949-10-17(日本)。时长是122分钟。'), (1, '剧情简介是炎热夏天，身心疲惫的青年刑警村上（三船敏郎饰）结束了射击练习后，登上拥挤难闻的公车回家，途中突然发现配枪被人盗走。他奋力追赶，却最终跟丢了目标。村上垂头丧气找到佐藤课长（志村乔饰），请求解除他的职务，善良的课长则指点他拜托扒手课的资深刑警市川（河村黎吉饰）寻求帮助。经市川提醒，村上想起公车上身边站着的一个女人，正是女惯犯阿银（岸辉子饰）。耐不住村上的死缠烂打，阿银透露了手枪贩子的信息。在此之后，村上深入这座城市最黑暗的角落，寻找关于手枪的蛛丝马迹。与此同时，有人用他的手枪犯案，形势日渐紧迫。二战后日本都市的芸芸众生相，通过村上野狗一般锐利的双目交替呈现……'), (2, 'None'), (3, '好于94%犯罪片,好于86%剧情片。'), (4, "['./data3/post_video/黑泽明/野良犬/image/剧照1.jpg', './data3/post_video/黑泽明/野良犬/image/剧照2.jpg', './data3/post_video/黑泽明/野良犬/image/剧照3.jpg', './data3/post_video/黑泽明/野良犬/image/剧照4.jpg', './data3/post_video/黑泽明/野良犬/image/剧照5.jpg', './data3/post_video/黑泽明/野良犬/image/海报1.jpg', './data3/post_video/黑泽明/野良犬/image/海报2.jpg', './data3/post_video/黑泽明/野良犬/image/海报3.jpg', './data3/post_video/黑泽明/野良犬/image/海报4.jpg', './data3/post_video/黑泽明/野良犬/image/海报5.jpg']"), (5, 'None')]
